[ INFO] 2017-03-04 11:08:04,390 [anonymous] [192.168.0.103] SENT: 215 UNIX Type: Apache FtpServer

[ INFO] 2017-03-04 11:08:04,390 [anonymous] [192.168.0.103] RECEIVED: PWD
[ INFO] 2017-03-04 11:08:04,391 [anonymous] [192.168.0.103] SENT: 257 "/" is current directory.

[ INFO] 2017-03-04 11:08:04,391 [anonymous] [192.168.0.103] RECEIVED: TYPE I
[ INFO] 2017-03-04 11:08:04,391 [anonymous] [192.168.0.103] SENT: 200 Command TYPE okay.

[ INFO] 2017-03-04 11:08:04,392 [anonymous] [192.168.0.103] RECEIVED: SIZE /
[ INFO] 2017-03-04 11:08:04,392 [anonymous] [192.168.0.103] SENT: 550 /: Not a plain file.

[ INFO] 2017-03-04 11:08:04,393 [anonymous] [192.168.0.103] RECEIVED: CWD /
[ INFO] 2017-03-04 11:08:04,394 [anonymous] [192.168.0.103] SENT: 250 Directory changed to /

[ INFO] 2017-03-04 11:08:04,394 [anonymous] [192.168.0.103] RECEIVED: PASV
[ INFO] 2017-03-04 11:08:04,395 [anonymous] [192.168.0.103] SENT: 227 Entering Passive Mode (192,168,0,103,201,207)

[ INFO] 2017-03-04 11:08:04,396 [anonymous] [192.168.0.103] RECEIVED: LIST -l
[ WARN] 2017-03-04 11:08:04,404 [anonymous] [192.168.0.103] Releasing unreserved passive port: 51663
[ INFO] 2017-03-04 11:08:04,405 [anonymous] [192.168.0.103] SENT: 150 File status okay; about to open data connection.

[ INFO] 2017-03-04 11:08:04,405 [anonymous] [192.168.0.103] SENT: 226 Closing data connection.

[ INFO] 2017-03-04 11:08:04,405 [anonymous] [192.168.0.103] RECEIVED: QUIT
[ INFO] 2017-03-04 11:08:04,407 [anonymous] [192.168.0.103] SENT: 221 Goodbye.

[ INFO] 2017-03-04 11:08:04,408 [anonymous] [192.168.0.103] CLOSED
[ INFO] 2017-03-04 11:10:20,908 [] [] Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@50134894: display name [org.springframework.context.support.FileSystemXmlApplicationContext@50134894]; startup date [Sat Mar 04 11:10:20 IST 2017]; root of context hierarchy
